,Comments,T,P
15 30 54 ,,169.9,749.6
15 30 55 ,,169.9,749.6
15 30 56 ,,169.9,749.6
15 30 57 ,,169.9,749.6
15 30 58 ,,169.9,749.6
15 30 59 ,,169.9,749.6
15 31 00 ,,169.9,749.6
15 31 01 ,,169.9,749.6
15 31 02 ,,169.9,749.6
15 31 03 ,,169.9,749.6
15 31 04 ,,169.9,749.6
15 31 05 ,,169.9,749.6
15 31 06 ,,169.9,749.6
15 31 07 ,,169.9,749.6
15 31 08 ,,169.9,749.6
15 31 09 ,,169.9,749.6
15 31 10 ,,169.9,749.6
15 31 11 ,,169.9,749.6
15 31 12 ,,169.9,749.6
15 31 13 ,,169.9,749.6
15 31 14 ,,169.9,749.6
15 31 15 ,,169.9,749.6
15 31 16 ,,169.9,749.6
15 31 17 ,,169.9,749.6
15 31 18 ,,169.9,749.6
15 31 19 ,,169.9,749.6
15 31 20 ,,169.9,749.6
15 31 21 ,,169.9,749.6
15 31 22 ,,169.9,749.6
15 31 23 ,,169.9,749.6
15 31 24 ,,169.9,749.6
15 31 25 ,,169.9,749.6
15 31 26 ,,169.9,749.6
15 31 27 ,,169.9,749.6
15 31 28 ,,169.9,749.6
15 31 29 ,,169.9,749.6
15 30 57 ,,169.9,749.6
15 30 57 ,,,
15 30 57 ,,,
15 30 57 ,,170.1,748.4
15 30 57 ,,170.1,748.4
15 30 58 ,,170.1,748.4
15 30 59 ,,170.1,748.4
15 31 00 ,,170.1,748.4
15 31 01 ,,170.1,748.4
15 31 02 ,,170.1,748.4
15 31 03 ,,170,748.4
15 31 04 ,,170,748.4
15 31 05 ,,170,748.4
15 31 06 ,,170.1,748.4
15 31 07 ,,170.1,748.4
15 31 08 ,,170.1,748.4
15 31 09 ,,170.1,748.4
15 31 10 ,,170.1,748.4
15 31 11 ,,170.1,748.4
15 31 12 ,,170.1,748.4
15 31 13 ,,170.1,748.4
15 31 14 ,,170.1,748.4
15 31 15 ,,170.1,748.4
15 31 16 ,,170.1,748.4
15 31 17 ,,170.1,748.4
15 31 18 ,,170.1,748.4
15 31 19 ,,170.1,748.4
15 31 20 ,,170.1,748.4
15 31 21 ,,170.1,748.4
15 31 22 ,,170.1,748.4
15 31 23 ,,170.1,748.4
15 31 24 ,,170.1,748.4
15 31 25 ,,170.1,748.4
15 31 26 ,,170.1,748.4
15 31 27 ,,170.1,748.4
15 31 28 ,,170.1,748.4
15 31 29 ,,170.1,748.4
15 31 30 ,,170.1,748.4
15 31 31 ,,170.1,748.4
15 31 32 ,,170.1,748.4
15 31 33 ,,170.1,748.4
15 31 34 ,,170.1,748.4
15 31 35 ,,170.1,748.4
15 31 36 ,,170.1,748.4
15 31 37 ,,170.1,748.4
15 31 38 ,,170.1,748.4
15 31 39 ,,170.1,748.4
15 31 40 ,,170.1,748.4
15 31 41 ,,170.1,748.4
15 31 42 ,,170.1,748.4
15 31 43 ,,170.1,748.4
15 31 44 ,,170.1,748.4
15 31 45 ,,170.1,748.4
15 31 46 ,,170.1,748.4
15 31 47 ,,170.1,748.4
15 31 48 ,,170.1,748.4
15 31 49 ,,170.1,748.4
15 31 50 ,,170.1,748.4
15 31 51 ,,170.1,748.4
15 31 52 ,,170.1,748.4
15 31 53 ,,170.1,748.4
15 31 54 ,,170.1,748.4
15 31 55 ,,170,748.4
15 31 56 ,,170,748.4
15 31 57 ,,170.1,748.4
15 31 58 ,,170.1,748.4
15 31 59 ,,170.1,748.4
15 32 00 ,,170,748.4
15 32 01 ,,170,748.4
15 32 02 ,,170.1,748.4
15 32 03 ,,170.1,748.4
15 32 04 ,,170.1,748.4
