"DATE";"TIME";"Balanca";"Dp Orificio";"O2";"O2 ok";"P10";"P11";"P12";"P13";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"R6_0";"R6_1";"R6_2";"R6_3";"T00";"T01";"T02";"T03";"T04";"T05";"T06";"T07";"T08";"T09";"T10";"T11";"T12";"T13";"T14";"T15";"T16";"T18"
"04/05/2022";"15:09:22";"0,00";"0,83";"12,82";"1,00";"116,00";"0,00";"0,00";"0,00";"2,00";"1,00";"0,00";"5,00";"0,00";"0,00";"0,00";"0,00";"4152,00";"-1979,00";"-1999,00";"-1999,00";"30,51";"28,30";"29,90";"40,70";"34,30";"43,80";"43,90";"40,10";"61,90";"58,70";"44,00";"57,00";"36,30";"62,20";"0,00";"0,00";"0,00";"114,02"
"04/05/2022";"15:09:23";"0,00";"0,83";"12,82";"1,00";"116,00";"0,00";"0,00";"0,00";"2,00";"1,00";"0,00";"5,00";"0,00";"0,00";"0,00";"0,00";"4152,00";"-1979,00";"-1999,00";"-1999,00";"28,06";"28,67";"29,90";"40,70";"34,30";"43,80";"43,90";"40,10";"61,90";"58,70";"44,00";"57,00";"36,30";"62,20";"0,00";"0,00";"0,00";"114,01"
"04/05/2022";"15:09:24";"0,00";"0,83";"12,82";"1,00";"116,00";"0,00";"0,00";"0,00";"2,00";"1,00";"0,00";"5,00";"0,00";"0,00";"0,00";"0,00";"4152,00";"-1979,00";"-1999,00";"-1999,00";"28,98";"27,88";"29,90";"40,70";"34,30";"43,80";"43,90";"40,10";"61,90";"58,70";"44,00";"57,00";"36,30";"62,20";"0,00";"0,00";"0,00";"114,00"
"04/05/2022";"15:09:25";"0,00";"0,63";"12,81";"1,00";"116,00";"0,00";"0,00";"0,00";"2,00";"1,00";"0,00";"5,00";"0,00";"0,00";"0,00";"0,00";"4151,00";"-1984,00";"-1999,00";"-1999,00";"29,71";"30,57";"29,90";"40,70";"34,30";"43,60";"43,80";"40,20";"61,80";"58,50";"44,00";"56,90";"36,20";"62,20";"0,00";"0,00";"0,00";"114,02"
"04/05/2022";"15:09:26";"0,00";"0,63";"12,81";"1,00";"116,00";"0,00";"0,00";"0,00";"2,00";"1,00";"0,00";"5,00";"0,00";"0,00";"0,00";"0,00";"4151,00";"-1984,00";"-1999,00";"-1999,00";"29,37";"28,04";"29,90";"40,70";"34,30";"43,60";"43,80";"40,20";"61,80";"58,50";"44,00";"56,90";"36,20";"62,20";"0,00";"0,00";"0,00";"114,01"
"04/05/2022";"15:09:27";"0,00";"0,63";"12,81";"1,00";"116,00";"0,00";"0,00";"0,00";"2,00";"1,00";"0,00";"5,00";"0,00";"0,00";"0,00";"0,00";"4151,00";"-1984,00";"-1999,00";"-1999,00";"29,70";"28,07";"29,90";"40,70";"34,30";"43,60";"43,80";"40,20";"61,80";"58,50";"44,00";"56,90";"36,20";"62,20";"0,00";"0,00";"0,00";"114,01"
"04/05/2022";"15:09:28";"0,00";"0,63";"12,81";"1,00";"116,00";"0,00";"0,00";"0,00";"2,00";"1,00";"0,00";"5,00";"0,00";"0,00";"0,00";"0,00";"4151,00";"-1984,00";"-1999,00";"-1999,00";"27,92";"29,03";"29,90";"40,70";"34,30";"43,60";"43,80";"40,20";"61,80";"58,50";"44,00";"56,90";"36,20";"62,20";"0,00";"0,00";"0,00";"114,01"
"04/05/2022";"15:09:29";"0,00";"0,63";"12,81";"1,00";"116,00";"0,00";"0,00";"0,00";"2,00";"1,00";"0,00";"5,00";"0,00";"0,00";"0,00";"0,00";"4151,00";"-1984,00";"-1999,00";"-1999,00";"29,96";"29,18";"29,90";"40,70";"34,30";"43,60";"43,80";"40,20";"61,80";"58,50";"44,00";"56,90";"36,20";"62,20";"0,00";"0,00";"0,00";"114,02"
"04/05/2022";"15:09:30";"0,00";"0,54";"12,81";"1,00";"116,00";"0,00";"0,00";"0,00";"2,00";"1,00";"0,00";"5,00";"0,00";"0,00";"0,00";"0,00";"4151,00";"-1986,00";"-1999,00";"-1999,00";"29,48";"30,48";"29,80";"40,40";"34,10";"43,60";"43,90";"40,20";"61,90";"58,40";"44,00";"56,80";"36,20";"62,20";"0,00";"0,00";"0,00";"114,01"
"04/05/2022";"15:09:31";"0,00";"0,54";"12,81";"1,00";"116,00";"0,00";"0,00";"0,00";"2,00";"1,00";"0,00";"5,00";"0,00";"0,00";"0,00";"0,00";"4151,00";"-1986,00";"-1999,00";"-1999,00";"29,06";"27,37";"29,80";"40,40";"34,10";"43,60";"43,90";"40,20";"61,90";"58,40";"44,00";"56,80";"36,20";"62,20";"0,00";"0,00";"0,00";"114,00"
