Tempo,O2
0,8.64
1,8.63
2,8.63
3,8.63
4,8.63
5,9.44
6,9.44
7,9.44
8,9.44
9,9.98
10,9.98
11,9.98
12,9.98
13,10.77
14,10.77
15,10.77
16,10.77
17,11.0
18,11.0
19,11.0
20,11.0
21,11.21
22,11.21
23,11.21
24,11.21
25,11.36
26,11.36
27,11.36
28,11.32
29,11.32
30,11.32
31,11.32
32,11.28
33,11.28
34,11.28
35,11.12
36,11.12
37,11.12
38,11.12
39,10.91
40,10.91
41,10.91
42,10.47
43,10.47
44,10.47
45,10.47
46,9.33
47,9.33
48,9.33
49,9.33
50,8.31
51,8.31
52,8.31
53,7.46
54,7.46
55,7.46
56,7.46
57,6.89
58,6.89
59,6.89
60,6.89
61,6.08
62,6.08
63,6.08
64,5.2
65,5.2
66,5.2
67,5.2
68,4.37
69,4.37
70,4.37
71,4.37
72,4.18
73,4.18
74,4.18
75,4.52
76,4.52
77,4.52
78,4.52
79,4.87
80,4.87
81,4.87
82,4.87
83,5.45
84,5.45
85,5.45
86,5.81
87,5.81
88,5.81
89,5.81
90,5.8
91,5.8
92,5.8
93,5.8
94,5.68
95,5.68
96,5.68
97,6.21
98,6.21
99,6.21
100,6.21
101,7.01
102,7.01
103,7.01
104,7.35
105,7.35
106,7.35
107,7.35
108,7.37
109,7.37
110,7.37
111,7.37
112,7.26
113,7.26
114,7.26
115,7.26
116,7.14
117,7.14
118,7.14
119,7.21
120,7.21
121,7.21
122,7.21
123,7.28
124,7.28
125,7.28
126,7.14
127,7.14
128,7.14
129,7.14
130,7.09
131,7.09
132,7.09
133,7.09
134,7.13
135,7.13
136,7.13
137,7.13
138,7.13
139,7.13
140,7.13
141,7.73
142,7.73
143,7.73
144,8.33
145,8.33
146,8.33
147,8.33
148,8.87
149,8.87
150,8.87
151,8.87
152,9.47
153,9.47
154,9.47
155,9.88
156,9.88
157,9.88
158,9.88
159,10.46
160,10.46
161,10.46
162,10.46
163,11.03
164,11.03
165,11.03
166,11.17
167,11.17
168,11.17
169,11.17
170,11.11
171,11.11
172,11.11
173,11.11
174,10.97
175,10.97
176,10.97
177,10.93
178,10.93
179,10.93
180,10.93
181,11.02
182,11.02
183,11.02
184,11.02
185,11.23
186,11.23
187,11.23
188,11.34
189,11.34
190,11.34
191,11.34
192,11.29
193,11.29
194,11.29
195,11.19
196,11.19
197,11.19
198,11.19
199,10.8
200,10.8
201,10.8
202,10.8
203,10.25
204,10.25
205,10.25
206,10.25
207,9.46
208,9.46
209,9.46
210,8.9
211,8.9
212,8.9
213,8.9
214,8.49
215,8.49
216,8.49
217,8.49
218,8.42
219,8.42
220,8.42
221,8.42
222,8.27
223,8.27
224,8.27
225,7.89
226,7.89
227,7.89
228,7.89
229,7.7
230,7.7
231,7.7
232,7.78
233,7.78
234,7.78
235,7.78
236,7.88
237,7.88
238,7.88
239,7.99
240,7.99
241,7.99
242,7.99
243,8.38
244,8.38
245,8.38
246,8.95
247,8.95
248,8.95
249,8.95
250,9.36
251,9.36
252,9.36
253,9.36
254,9.95
255,9.95
256,9.95
257,9.95
258,10.5
259,10.5
260,10.5
261,10.5
262,10.68
263,10.68
264,10.68
265,10.68
266,10.59
267,10.59
268,10.59
269,10.42
270,10.42
271,10.42
272,10.42
273,10.36
274,10.36
275,10.36
276,10.24
277,10.24
278,10.24
279,10.24
280,10.12
281,10.12
282,10.12
283,10.12
284,10.13
285,10.13
286,10.13
287,10.27
288,10.27
289,10.27
290,10.27
291,10.33
292,10.33
293,10.33
294,10.33
295,10.3
296,10.3
297,10.3
298,10.34
299,10.34
300,10.34
301,10.34
302,10.49
303,10.49
304,10.49
305,10.49
306,10.73
307,10.73
308,10.73
309,10.73
310,11.03
311,11.03
312,11.03
313,11.03
314,11.34
315,11.34
316,11.34
317,11.61
318,11.61
319,11.61
320,11.61
321,12.02
322,12.02
323,12.02
324,12.02
325,12.3
326,12.3
327,12.3
328,12.58
329,12.58
330,12.58
331,12.58
332,12.78
333,12.78
334,12.78
335,12.78
336,12.88
337,12.88
338,12.88
339,12.91
340,12.91
341,12.91
342,12.91
343,12.99
344,12.99
345,12.99
346,12.99
347,13.15
348,13.15
349,13.15
350,13.35
351,13.35
352,13.35
353,13.35
354,13.51
355,13.51
356,13.51
357,13.51
358,13.67
359,13.67
360,13.67
361,13.79
362,13.79
363,13.79
364,13.79
365,13.94
366,13.94
367,13.94
368,14.1
369,14.1
370,14.1
371,14.1
372,14.24
373,14.24
374,14.24
375,14.24
376,14.29
377,14.29
378,14.29
379,14.29
380,14.31
381,14.31
382,14.31
383,14.31
384,14.31
385,14.31
386,14.31
387,14.25
388,14.25
389,14.25
390,14.2
391,14.2
392,14.2
393,14.2
394,14.13
395,14.13
396,14.13
397,14.13
398,14.09
399,14.09
400,14.09
401,14.12
402,14.12
403,14.12
404,14.12
405,14.17
406,14.17
407,14.17
408,14.17
409,14.24
410,14.24
411,14.24
412,14.35
413,14.35
414,14.35
415,14.35
416,14.49
417,14.49
418,14.49
419,14.49
420,14.58
421,14.58
422,14.58
423,14.63
424,14.63
425,14.63
426,14.63
427,14.67
428,14.67
429,14.67
430,14.67
431,14.7
432,14.7
433,14.7
434,14.67
435,14.67
436,14.67
437,14.67
438,14.54
439,14.54
440,14.54
441,14.54
442,14.34
443,14.34
444,14.34
445,14.34
446,14.13
447,14.13
448,14.13
449,13.94
450,13.94
451,13.94
452,13.94
453,13.77
454,13.77
455,13.77
456,13.77
457,13.56
458,13.56
459,13.56
460,13.12
461,13.12
462,13.12
463,13.12
464,12.79
465,12.79
466,12.79
467,12.38
468,12.38
469,12.38
470,12.38
471,12.01
472,12.01
473,12.01
474,12.01
475,11.7
476,11.7
477,11.7
478,11.47
479,11.47
480,11.47
481,11.47
482,11.29
483,11.29
484,11.29
485,11.29
486,11.13
487,11.13
488,11.13
489,11.05
490,11.05
491,11.05
492,11.05
493,11.02
494,11.02
495,11.02
496,11.02
497,10.93
498,10.93
499,10.93
500,10.76
501,10.76
502,10.76
503,10.76
504,10.37
505,10.37
506,10.37
507,10.37
508,10.07
509,10.07
510,10.07
511,10.07
512,9.8
513,9.8
514,9.8
515,9.63
516,9.63
517,9.63
518,9.63
519,9.47
520,9.47
521,9.47
522,9.47
523,9.37
524,9.37
525,9.37
526,9.37
527,9.29
528,9.29
529,9.29
530,9.2
531,9.2
532,9.2
533,9.2
534,9.05
535,9.05
536,9.05
537,8.62
538,8.62
539,8.62
540,8.62
541,8.1
542,8.1
543,8.1
544,8.1
545,7.5
546,7.5
547,7.5
548,6.93
549,6.93
550,6.93
551,6.93
552,6.19
553,6.19
554,6.19
555,5.28
556,5.28
557,5.28
558,5.28
559,4.4
560,4.4
561,4.4
562,4.4
563,3.57
564,3.57
565,3.57
566,3.19
567,3.19
568,3.19
569,3.19
570,3.01
571,3.01
572,3.01
573,3.01
574,2.82
575,2.82
576,2.82
577,2.79
578,2.79
579,2.79
580,2.79
581,2.84
582,2.84
583,2.84
584,2.84
585,2.74
586,2.74
587,2.74
588,2.57
589,2.57
590,2.57
591,2.57
592,2.47
593,2.47
594,2.47
595,2.47
596,2.47
597,2.47
598,2.47
599,2.61
600,2.61
601,2.61
602,2.61
603,3.18
604,3.18
605,3.18
606,3.18
607,4.05
608,4.05
609,4.05
610,4.7
611,4.7
612,4.7
613,4.7
614,6.33
615,6.33
616,6.33
617,7.78
618,7.78
619,7.78
620,7.78
621,9.38
622,9.38
623,9.38
624,9.38
625,10.41
626,10.41
627,10.41
628,11.68
629,11.68
630,11.68
631,11.68
632,12.49
633,12.49
634,12.49
635,12.49
636,13.26
637,13.26
638,13.26
639,13.86
640,13.86
641,13.86
642,13.86
643,14.25
644,14.25
645,14.25
646,14.25
647,14.6
648,14.6
649,14.6
650,14.6
651,14.89
652,14.89
653,14.89
654,15.18
655,15.18
656,15.18
657,15.18
658,15.39
659,15.39
660,15.39
661,15.59
662,15.59
663,15.59
664,15.59
665,15.73
666,15.73
667,15.73
668,15.86
669,15.86
670,15.86
671,15.86
672,15.96
673,15.96
674,15.96
675,15.96
676,16.03
677,16.03
678,16.03
679,16.09
680,16.09
681,16.09
682,16.09
683,16.14
684,16.14
685,16.14
686,16.14
687,16.18
688,16.18
689,16.18
690,16.21
691,16.21
692,16.21
693,16.21
694,16.24
695,16.24
696,16.24
697,16.24
698,16.26
699,16.26
700,16.26
701,16.27
702,16.27
703,16.27
704,16.27
705,16.29
706,16.29
707,16.29
708,16.29
709,16.31
710,16.31
711,16.31
712,16.32
713,16.32
714,16.32
715,16.32
716,16.32
717,16.32
718,16.32
719,16.32
720,16.32
721,16.32
722,16.32
723,16.33
724,16.33
725,16.33
726,16.33
727,16.33
728,16.33
729,16.33
730,16.34
731,16.34
732,16.34
733,16.34
734,16.34
735,16.34
736,16.34
737,16.34
738,16.35
739,16.35
740,16.35
741,16.35
742,16.35
743,16.35
744,16.35
745,16.35
746,16.35
747,16.35
748,16.35
749,16.35
750,16.35
751,16.35
752,16.35
753,16.36
754,16.36
755,16.36
756,16.36
757,16.36
758,16.36
759,16.36
760,18.04
761,18.04
762,18.04
763,18.04
764,18.05
765,18.05
766,18.05
767,18.05
768,18.05
769,18.05
770,18.05
771,18.04
772,18.04
773,18.04
774,18.04
775,18.04
776,18.04
777,18.04
778,18.04
779,18.04
780,18.04
781,18.04
782,18.06
783,18.06
784,18.06
785,18.06
786,18.07
787,18.07
788,18.07
789,18.07
790,18.07
791,18.07
792,18.07
793,18.07
794,18.07
795,18.07
796,18.07
797,18.07
798,18.07
799,18.07
800,18.07
801,18.07
802,18.07
803,18.07
804,18.07
805,18.07
806,18.07
807,18.07
808,18.07
809,18.07
810,18.07
811,18.07
812,18.07
813,18.07
814,18.07
815,18.07
816,18.07
817,18.07
818,18.07
819,18.07
820,18.07
821,18.07
822,18.07
823,18.07
824,18.07
825,18.07
826,18.07
827,18.07
828,18.07
829,18.07
830,18.07
831,18.07
832,18.07
833,18.07
834,18.07
835,18.07
836,18.07
837,18.07
838,18.07
839,18.07
840,18.07
841,18.07
842,18.07
843,18.07
844,18.06
845,18.06
846,18.06
847,18.07
848,18.07
849,18.07
850,18.07
851,18.07
852,18.07
853,18.07
854,18.07
855,18.07
856,18.07
857,18.07
858,18.07
859,18.07
860,18.07
861,18.07
862,18.07
863,18.07
864,18.07
865,18.07
866,18.07
867,18.07
868,18.07
869,18.06
870,18.06
871,18.06
872,18.06
873,18.06
874,18.06
875,18.06
876,18.06
877,18.06
878,18.06
879,18.06
880,18.06
881,18.06
882,18.06
883,18.06
884,18.06
885,18.06
886,18.06
887,18.06
888,18.06
889,18.06
890,18.06
891,18.06
892,18.06
893,18.06
894,18.06
895,18.06
896,18.06
897,18.06
898,18.06
899,18.06
900,18.06
901,18.06
902,18.06
903,18.06
904,18.06
905,18.06
906,18.06
907,18.06
908,18.06
909,18.06
910,18.06
911,18.06
912,18.06
913,18.06
914,18.06
915,18.06
916,18.06
917,18.06
918,18.06
919,18.06
920,18.06
921,18.06
922,18.06
923,18.06
924,18.06
925,18.06
926,18.06
927,18.06
928,18.06
929,18.06
930,18.06
931,18.06
932,18.06
933,18.06
934,18.06
935,18.06
936,18.06
937,18.06
938,18.06
939,18.06
940,18.06
941,18.06
942,18.06
943,18.06
944,18.06
945,18.06
946,18.06
947,18.06
948,18.06
949,18.06
950,18.06
951,18.06
952,18.06
953,18.06
954,18.06
955,18.06
956,18.06
957,18.06
958,18.06
959,18.06
960,18.06
961,18.06
962,18.06
963,18.06
964,18.06
965,18.06
966,18.06
967,18.06
968,18.06
