Time,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13
0,25.9,21.9,18.6,21.9,21.7,21.7,22.1,20.4,19.3,20.8,500.6,851.0
1,25.9,21.9,18.6,21.9,21.7,21.7,22.1,20.4,19.3,20.8,500.6,851.0
2,25.9,21.9,18.6,21.9,21.7,21.7,22.1,20.4,19.3,20.8,500.6,851.0
3,25.9,21.9,18.6,21.9,21.7,21.7,22.2,20.3,19.3,20.8,579.9,848.8
4,25.9,21.9,18.6,21.9,21.7,21.7,22.2,20.3,19.3,20.8,579.9,848.8
5,25.9,21.9,18.6,21.9,21.7,21.7,22.2,20.3,19.3,20.8,579.9,848.8
6,25.9,21.9,18.6,21.9,21.7,21.7,22.2,20.3,19.3,20.8,579.9,848.8
7,25.9,21.9,18.6,21.9,21.7,21.6,22.1,20.3,19.3,20.7,646.8,837.2
8,25.9,21.9,18.6,21.9,21.7,21.6,22.1,20.3,19.3,20.7,646.8,837.2
9,25.9,21.9,18.6,21.9,21.7,21.6,22.1,20.3,19.3,20.7,646.8,837.2
10,25.9,21.9,18.6,21.9,21.7,21.6,22.1,20.3,19.3,20.7,646.8,837.2
11,26.0,22.1,18.8,22.1,21.8,21.7,22.2,20.3,19.3,20.8,716.2,812.1
12,26.0,22.1,18.8,22.1,21.8,21.7,22.2,20.3,19.3,20.8,716.2,812.1
13,26.0,22.1,18.8,22.1,21.8,21.7,22.2,20.3,19.3,20.8,716.2,812.1
14,26.0,22.1,18.8,22.1,21.8,21.7,22.2,20.3,19.3,20.8,716.2,812.1
15,26.0,22.2,18.8,22.1,21.8,21.8,22.2,20.3,19.3,20.7,769.9,787.7
16,26.0,22.2,18.8,22.1,21.8,21.8,22.2,20.3,19.3,20.7,769.9,787.7
17,26.0,22.2,18.8,22.1,21.8,21.8,22.2,20.3,19.3,20.7,769.9,787.7
18,26.0,22.2,18.8,22.1,21.8,21.8,22.2,20.3,19.3,20.7,769.9,787.7
19,25.9,22.1,18.6,21.9,21.7,21.7,22.2,20.3,19.3,20.8,813.3,773.1
20,25.9,22.1,18.6,21.9,21.7,21.7,22.2,20.3,19.3,20.8,813.3,773.1
21,25.9,22.1,18.6,21.9,21.7,21.7,22.2,20.3,19.3,20.8,813.3,773.1
22,25.9,22.1,18.6,21.9,21.7,21.7,22.2,20.3,19.3,20.8,813.3,773.1
23,26.0,22.3,18.8,22.2,21.8,21.7,22.1,20.2,19.1,20.7,842.6,759.1
24,26.0,22.3,18.8,22.2,21.8,21.7,22.1,20.2,19.1,20.7,842.6,759.1
25,26.0,22.3,18.8,22.2,21.8,21.7,22.1,20.2,19.1,20.7,842.6,759.1
26,26.0,22.3,18.8,22.2,21.8,21.7,22.1,20.2,19.1,20.7,842.6,759.1
27,26.0,22.3,18.8,22.1,21.8,21.7,22.2,20.2,19.1,20.7,866.6,740.8
28,26.0,22.3,18.8,22.1,21.8,21.7,22.2,20.2,19.1,20.7,866.6,740.8
29,26.0,22.3,18.8,22.1,21.8,21.7,22.2,20.2,19.1,20.7,866.6,740.8
30,26.0,22.3,18.8,22.1,21.8,21.7,22.2,20.2,19.1,20.7,866.6,740.8
31,25.9,22.2,18.6,21.9,21.7,21.7,21.9,20.3,19.3,20.8,886.2,736.5
32,25.9,22.2,18.6,21.9,21.7,21.7,21.9,20.3,19.3,20.8,886.2,736.5
33,25.9,22.2,18.6,21.9,21.7,21.7,21.9,20.3,19.3,20.8,886.2,736.5
34,26.0,22.4,18.6,22.1,21.7,21.7,22.1,20.2,19.1,20.7,906.2,789.3
35,26.0,22.4,18.6,22.1,21.7,21.7,22.1,20.2,19.1,20.7,906.2,789.3
36,26.0,22.4,18.6,22.1,21.7,21.7,22.1,20.2,19.1,20.7,906.2,789.3
37,26.0,22.4,18.6,22.1,21.7,21.7,22.1,20.2,19.1,20.7,906.2,789.3
38,25.9,22.3,18.4,21.9,21.6,21.6,21.9,20.2,19.1,20.5,920.8,828.1
39,25.9,22.3,18.4,21.9,21.6,21.6,21.9,20.2,19.1,20.5,920.8,828.1
40,25.9,22.3,18.4,21.9,21.6,21.6,21.9,20.2,19.1,20.5,920.8,828.1
41,25.9,22.3,18.3,21.9,21.5,21.6,21.8,20.3,19.3,20.7,935.2,843.3
42,25.9,22.3,18.3,21.9,21.5,21.6,21.8,20.3,19.3,20.7,935.2,843.3
43,25.9,22.3,18.3,21.9,21.5,21.6,21.8,20.3,19.3,20.7,935.2,843.3
44,25.9,22.3,18.3,21.9,21.5,21.6,21.8,20.3,19.3,20.7,935.2,843.3
45,26.0,22.4,18.6,21.9,21.6,21.7,21.8,20.1,19.0,20.5,954.8,847.0
46,26.0,22.4,18.6,21.9,21.6,21.7,21.8,20.1,19.0,20.5,954.8,847.0
47,26.0,22.4,18.6,21.9,21.6,21.7,21.8,20.1,19.0,20.5,954.8,847.0
48,26.0,22.4,18.4,21.9,21.6,21.6,21.8,20.0,19.0,20.5,978.4,844.7
49,26.0,22.4,18.4,21.9,21.6,21.6,21.8,20.0,19.0,20.5,978.4,844.7
50,26.0,22.4,18.4,21.9,21.6,21.6,21.8,20.0,19.0,20.5,978.4,844.7
51,26.0,22.4,18.4,21.9,21.6,21.6,21.8,20.0,19.0,20.5,978.4,844.7
52,25.9,22.4,18.3,21.7,21.5,21.5,21.7,20.0,19.0,20.5,986.7,843.0
53,25.9,22.4,18.3,21.7,21.5,21.5,21.7,20.0,19.0,20.5,986.7,843.0
54,25.9,22.4,18.3,21.7,21.5,21.5,21.7,20.0,19.0,20.5,986.7,843.0
55,25.9,22.4,18.3,21.7,21.5,21.5,21.7,20.0,19.0,20.5,986.7,843.0
56,26.0,22.3,18.4,21.9,21.5,21.5,21.8,20.1,19.1,20.5,976.9,838.0
57,26.0,22.3,18.4,21.9,21.5,21.5,21.8,20.1,19.1,20.5,976.9,838.0
58,26.0,22.3,18.4,21.9,21.5,21.5,21.8,20.1,19.1,20.5,976.9,838.0
59,26.0,22.4,18.3,21.7,21.5,21.4,21.7,20.0,19.0,20.5,960.7,828.2
60,26.0,22.4,18.3,21.7,21.5,21.4,21.7,20.0,19.0,20.5,960.7,828.2
61,26.0,22.4,18.3,21.7,21.5,21.4,21.7,20.0,19.0,20.5,960.7,828.2
62,26.0,22.4,18.3,21.7,21.5,21.4,21.7,20.0,19.0,20.5,960.7,828.2
63,25.9,22.3,18.3,21.7,21.2,21.2,21.7,20.0,19.0,20.4,953.6,815.4
64,25.9,22.3,18.3,21.7,21.2,21.2,21.7,20.0,19.0,20.4,953.6,815.4
65,25.9,22.3,18.3,21.7,21.2,21.2,21.7,20.0,19.0,20.4,953.6,815.4
66,25.9,22.3,18.3,21.7,21.2,21.2,21.7,20.0,19.0,20.4,953.6,815.4
