Tempo,T01
0,26.97
1,28.01
2,28.74
3,28.38
4,30.22
5,29.63
6,27.9
7,27.91
8,27.73
9,30.7
10,29.4
11,27.48
12,30.62
13,27.09
14,28.37
15,29.99
16,28.99
17,28.63
18,26.67
19,28.47
20,30.05
21,28.74
22,29.29
23,27.09
24,27.99
25,28.88
26,28.87
27,30.94
28,28.4
29,27.18
30,29.62
31,28.47
32,30.38
33,26.73
34,28.43
35,29.14
36,28.84
37,30.99
38,28.31
39,27.2
40,29.09
41,27.71
42,30.69
43,27.13
44,27.7
45,29.5
46,29.04
47,29.94
48,26.44
49,29.05
50,30.36
51,28.54
52,29.36
53,28.25
54,27.34
55,30.1
56,27.7
57,28.89
58,27.48
59,30.85
60,28.96
61,27.33
62,28.77
63,28.86
64,30.94
65,26.9
66,28.4
67,29.26
68,28.91
69,31.1
70,28.27
71,27.75
72,28.74
73,26.95
74,30.2
75,29.96
76,27.64
77,28.7
78,27.82
79,30.92
80,29.35
81,28.57
82,28.73
83,28.07
84,30.73
85,29.23
86,27.56
87,28.54
88,28.31
89,31.14
90,26.83
91,28.47
92,30.09
93,28.78
94,29.46
95,28.33
96,27.46
97,29.11
98,28.87
99,30.03
100,27.75
101,28.66
102,30.12
103,27.74
104,28.63
105,28.41
106,30.66
107,28.54
108,27.78
109,29.54
110,28.75
111,29.75
112,26.99
113,28.96
114,29.94
115,28.73
116,28.99
117,27.69
118,30.98
119,27.35
120,28.61
121,29.45
122,28.34
123,29.57
124,26.96
125,29.46
126,30.03
127,28.79
128,29.31
129,29.0
130,29.8
131,26.87
132,31.47
133,28.71
134,27.23
135,29.83
136,28.51
137,29.39
138,30.17
139,28.01
140,28.9
141,28.33
142,30.83
143,28.7
144,27.44
145,29.37
146,27.96
147,31.15
148,29.7
149,27.54
150,29.53
151,29.12
152,30.77
153,27.0
154,29.03
155,30.14
156,28.51
157,28.96
158,27.99
159,30.75
160,28.1
161,30.91
162,28.76
163,28.2
164,30.08
165,28.26
166,29.44
167,29.01
168,29.53
169,27.17
170,31.03
171,29.33
172,28.09
173,30.18
174,27.72
175,28.95
176,28.9
177,29.54
178,28.5
179,31.21
180,27.28
181,30.76
182,28.23
183,27.51
184,30.28
185,28.91
186,29.01
187,27.76
188,31.08
189,27.13
190,28.13
191,30.48
192,29.27
193,28.99
194,28.41
195,31.04
196,28.01
197,29.1
198,30.02
199,28.99
200,29.14
201,27.45
202,29.04
203,30.52
204,29.37
205,28.96
206,26.94
207,30.83
208,30.39
209,28.54
210,29.62
211,27.64
212,30.88
213,30.46
214,28.52
215,28.41
