Time,Etileno stde
0,5.544584865738788e-10
1,5.54469059571952e-10
2,5.544796325700252e-10
3,7.462137517470085e-10
4,9.382116728845947e-10
5,1.1303176249244951e-09
6,1.3225316990705103e-09
7,1.5150672262105858e-09
8,1.707765436516812e-09
9,1.900626536265394e-09
10,2.0933556854731746e-09
11,2.2871607296324257e-09
12,2.0338922415128587e-09
13,1.7804092705522575e-09
14,1.5269271509507632e-09
15,1.2727987893631813e-09
16,1.0183828912011258e-09
17,7.638950936754524e-10
18,5.092633957836348e-10
19,2.546676831515533e-10
20,0.0
21,2.855872090002079e-10
22,5.711744180004158e-10
23,8.567616270006236e-10
24,1.1423488360008316e-09
25,1.4279360450010396e-09
26,1.7135232540012473e-09
27,1.999110463001455e-09
28,2.284374792172381e-09
29,2.154781057343797e-09
30,2.0251873225152132e-09
31,1.8953257349824204e-09
32,1.7657503121129756e-09
33,1.635943725794924e-09
34,1.5063866097102874e-09
35,1.3768294936256504e-09
36,1.2472723775410138e-09
37,1.1177152614563771e-09
38,1.0555220824330017e-09
39,9.933289034096263e-10
40,9.311357243862509e-10
41,8.694539888857495e-10
42,8.072242041066216e-10
43,7.449944193274938e-10
44,6.827646345483657e-10
45,6.20534849769238e-10
46,5.579766502459985e-10
47,5.578014618770237e-10
48,5.577050949023486e-10
49,5.576087279276734e-10
50,5.574336162692478e-10
51,5.573372629057274e-10
52,5.570048905207997e-10
53,5.567513701827944e-10
54,5.56497992935145e-10
55,5.56323235626079e-10
56,4.867828311728192e-10
57,4.1718356899255686e-10
58,3.475549194505048e-10
59,2.779655360297228e-10
60,2.0838601469759272e-10
61,1.3890443476531093e-10
62,6.943265062187713e-11
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,6.14810571923026e-11
74,1.229621143846052e-10
75,1.8444317157690777e-10
76,2.459242287692104e-10
77,3.0740528596151305e-10
78,3.687306292056712e-10
79,4.3018573407328305e-10
80,4.91640838940895e-10
81,5.530181306481514e-10
82,4.91502523892663e-10
83,4.300647084060801e-10
84,3.686268929194973e-10
85,3.0718907743291444e-10
86,2.457512619463315e-10
87,1.8431344645974866e-10
88,1.2287563097316578e-10
89,6.143781548658289e-11
90,0.0
91,1.2394355401465693e-10
92,2.4788710802931385e-10
93,3.7183066204397083e-10
94,4.957044869143157e-10
95,6.195434717270399e-10
96,7.433476311784557e-10
97,8.672389030415315e-10
98,9.909908342361268e-10
99,1.1148646885156424e-09
100,9.753694775422118e-10
101,8.359134781530321e-10
102,6.964966738170816e-10
103,5.571973390536652e-10
104,4.17898004290249e-10
105,2.785986695268326e-10
106,1.392993347634163e-10
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,3.0773529273564515e-11
162,6.15644153036285e-11
163,9.234662295544275e-11
164,1.23128830607257e-10
165,1.5391103825907124e-10
166,1.846932459108855e-10
167,2.1547545356269971e-10
168,2.46257661214514e-10
169,2.769617634620806e-10
170,2.4234154302932053e-10
171,2.0772132259656047e-10
172,1.7310110216380038e-10
173,1.384808817310403e-10
174,1.0386066129828023e-10
175,6.92209255214205e-11
176,3.461046276071025e-11
177,0.0
178,3.074329528908929e-11
179,6.148659057817858e-11
180,9.222988586726786e-11
181,1.2297318115635715e-10
182,1.5371647644544645e-10
183,1.8445977173453572e-10
184,2.15172748191979e-10
185,2.459117122194046e-10
186,2.7665067624683015e-10
187,2.459117122194046e-10
188,2.15172748191979e-10
189,1.844078039160445e-10
190,1.5365152582159627e-10
191,1.2290391024738297e-10
192,9.21649535342157e-11
193,6.144330235614379e-11
194,3.0721651178071896e-11
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,3.452640101379892e-11
206,6.905280202759785e-11
207,1.0357920304139678e-10
208,1.381056040551957e-10
209,1.7263200506899466e-10
210,2.0715840608279355e-10
211,2.416848070965925e-10
212,2.762112081103914e-10
213,2.7622359898620104e-10
214,2.7623598986201065e-10
215,2.762483807378203e-10
216,2.762607716136299e-10
217,2.7627316248943953e-10
218,2.7628555336524925e-10
219,2.7629794424105886e-10
220,2.7631033511686846e-10
221,2.7632272599267807e-10
222,2.7629848399511875e-10
223,2.762742419975594e-10
224,2.7625e-10
225,2.762257580024406e-10
226,2.7620151600488125e-10
227,2.761772740073219e-10
228,2.761530320097625e-10
229,2.761287900122031e-10
230,2.761045480146438e-10
231,2.454262649019056e-10
232,2.1474798178916737e-10
233,1.8401787725225228e-10
234,1.5334823104354355e-10
235,1.2267858483483484e-10
236,9.197009990150552e-11
237,6.130477396360908e-11
238,3.065238698180454e-11
239,0.0
240,1.244934364744491e-10
241,2.489868729488982e-10
242,3.7342778793418637e-10
243,4.979037172455819e-10
244,6.223796465569773e-10
245,7.46645578518206e-10
246,8.710865082712404e-10
247,9.955274380242747e-10
248,1.1199683677773092e-09
249,1.1200664276676508e-09
250,1.1201644875579924e-09
251,1.1197902613827993e-09
252,1.1198882799325463e-09
253,1.1199862984822934e-09
254,1.1200843170320405e-09
255,1.1201823355817875e-09
256,1.1202803541315344e-09
257,9.958047592280305e-10
258,8.713291643245268e-10
259,7.46853569421023e-10
260,6.223779745175191e-10
261,4.979023796140153e-10
262,3.734267847105115e-10
263,2.4895118980700773e-10
264,1.2447559490350387e-10
265,0.0
266,6.172733979763913e-11
267,1.2345467959527827e-10
268,1.8518201939291737e-10
