Tempo,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13
0,24.8,20.8,19.0,22.1,21.9,21.9,22.4,20.5,19.6,21.2,20.4,28.6
1,24.9,20.8,18.9,22.1,22.1,22.1,22.4,20.5,19.6,21.1,20.4,32.8
2,24.9,20.8,18.9,22.1,22.1,22.1,22.4,20.5,19.6,21.1,20.4,32.8
3,24.9,20.8,18.9,22.1,22.1,22.1,22.4,20.5,19.6,21.1,20.4,32.8
4,24.9,20.8,18.9,22.1,22.1,22.1,22.4,20.5,19.6,21.1,20.4,32.8
5,24.9,20.8,18.9,22.1,22.1,21.8,22.4,20.5,19.6,21.2,20.4,41.9
6,24.9,20.8,18.9,22.1,22.1,21.8,22.4,20.5,19.6,21.2,20.4,41.9
7,24.9,20.8,18.9,22.1,22.1,21.8,22.4,20.5,19.6,21.2,20.4,41.9
8,24.9,20.9,18.9,22.1,21.9,22.2,22.5,20.5,19.6,21.1,20.3,67.5
9,24.9,20.9,18.9,22.1,21.9,22.2,22.5,20.5,19.6,21.1,20.3,67.5
10,24.9,20.9,18.9,22.1,21.9,22.2,22.5,20.5,19.6,21.1,20.3,67.5
11,24.9,20.9,18.9,22.1,21.9,22.2,22.5,20.5,19.6,21.1,20.3,67.5
12,25.0,21.0,19.0,22.2,22.1,22.1,22.4,20.5,19.6,21.1,20.3,120.5
13,25.0,21.0,19.0,22.2,22.1,22.1,22.4,20.5,19.6,21.1,20.3,120.5
14,25.0,21.0,19.0,22.2,22.1,22.1,22.4,20.5,19.6,21.1,20.3,120.5
15,25.0,21.0,19.0,22.2,22.1,22.1,22.4,20.5,19.6,21.1,20.3,120.5
16,25.0,21.0,18.9,22.1,21.9,21.8,22.4,20.5,19.5,21.0,20.3,209.4
17,25.0,21.0,18.9,22.1,21.9,21.8,22.4,20.5,19.5,21.0,20.3,209.4
18,25.0,21.0,18.9,22.1,21.9,21.8,22.4,20.5,19.5,21.0,20.3,209.4
19,25.0,21.0,18.9,22.1,21.9,21.8,22.4,20.5,19.5,21.0,20.3,209.4
20,25.1,21.1,19.0,22.2,22.1,22.1,22.5,20.5,19.5,21.0,20.3,322.0
21,25.1,21.1,19.0,22.2,22.1,22.1,22.5,20.5,19.5,21.0,20.3,322.0
22,25.1,21.1,19.0,22.2,22.1,22.1,22.5,20.5,19.5,21.0,20.3,322.0
23,25.2,21.1,19.0,22.1,22.1,22.1,22.4,20.5,19.5,21.1,20.3,528.6
24,25.2,21.1,19.0,22.1,22.1,22.1,22.4,20.5,19.5,21.1,20.3,528.6
25,25.2,21.1,19.0,22.1,22.1,22.1,22.4,20.5,19.5,21.1,20.3,528.6
26,25.2,21.1,19.0,22.1,22.1,22.1,22.4,20.5,19.5,21.1,20.3,528.6
27,25.2,21.1,18.9,22.1,21.9,21.9,22.4,20.5,19.5,21.0,20.3,696.6
28,25.2,21.1,18.9,22.1,21.9,21.9,22.4,20.5,19.5,21.0,20.3,696.6
29,25.2,21.1,18.9,22.1,21.9,21.9,22.4,20.5,19.5,21.0,20.3,696.6
30,25.2,21.1,18.9,22.1,21.9,21.9,22.4,20.5,19.5,21.0,20.3,696.6
31,25.3,21.2,18.9,22.2,22.1,21.9,22.2,20.5,19.5,21.0,20.3,803.3
32,25.3,21.2,18.9,22.2,22.1,21.9,22.2,20.5,19.5,21.0,20.3,803.3
33,25.3,21.2,18.9,22.2,22.1,21.9,22.2,20.5,19.5,21.0,20.3,803.3
34,25.3,21.2,18.9,22.2,21.9,22.1,22.3,20.4,19.5,21.0,20.3,864.4
35,25.3,21.2,18.9,22.2,21.9,22.1,22.3,20.4,19.5,21.0,20.3,864.4
36,25.3,21.2,18.9,22.2,21.9,22.1,22.3,20.4,19.5,21.0,20.3,864.4
37,25.3,21.2,18.9,22.2,21.9,22.1,22.3,20.4,19.5,21.0,20.3,864.4
38,25.3,21.1,18.8,21.9,21.9,21.9,22.2,20.5,19.5,21.0,20.2,901.2
39,25.3,21.1,18.8,21.9,21.9,21.9,22.2,20.5,19.5,21.0,20.2,901.2
40,25.3,21.1,18.8,21.9,21.9,21.9,22.2,20.5,19.5,21.0,20.2,901.2
41,25.3,21.1,18.8,21.9,21.9,21.9,22.2,20.5,19.5,21.0,20.2,901.2
42,25.3,21.2,18.8,22.1,21.9,21.9,22.3,20.4,19.5,21.0,20.2,919.0
43,25.3,21.2,18.8,22.1,21.9,21.9,22.3,20.4,19.5,21.0,20.2,919.0
44,25.3,21.2,18.8,22.1,21.9,21.9,22.3,20.4,19.5,21.0,20.2,919.0
45,25.6,21.2,18.9,22.1,21.9,22.1,22.4,20.5,19.5,21.0,20.2,930.4
46,25.6,21.2,18.9,22.1,21.9,22.1,22.4,20.5,19.5,21.0,20.2,930.4
47,25.6,21.2,18.9,22.1,21.9,22.1,22.4,20.5,19.5,21.0,20.2,930.4
48,25.6,21.2,18.9,22.1,21.9,22.1,22.4,20.5,19.5,21.0,20.2,930.4
49,25.6,21.4,18.9,22.1,21.9,21.9,22.3,20.4,19.5,20.9,20.2,951.0
50,25.6,21.4,18.9,22.1,21.9,21.9,22.3,20.4,19.5,20.9,20.2,951.0
51,25.6,21.4,18.9,22.1,21.9,21.9,22.3,20.4,19.5,20.9,20.2,951.0
52,25.6,21.4,18.9,22.1,21.9,21.9,22.3,20.4,19.5,20.9,20.2,951.0
53,25.3,21.2,18.8,22.1,21.9,21.8,22.2,20.4,19.5,20.9,20.2,969.6
54,25.3,21.2,18.8,22.1,21.9,21.8,22.2,20.4,19.5,20.9,20.2,969.6
55,25.3,21.2,18.8,22.1,21.9,21.8,22.2,20.4,19.5,20.9,20.2,969.6
56,25.6,21.4,18.9,22.1,21.9,21.9,22.3,20.4,19.5,20.9,20.1,967.5
