Time,T01
0,28.42
1,28.62
2,28.91
3,28.94
4,28.33
5,30.64
6,26.71
7,28.3
8,30.12
9,28.74
10,28.83
11,27.69
12,30.07
13,27.35
14,30.55
15,28.01
16,27.16
17,29.91
18,28.84
19,29.2
20,27.46
21,30.7
22,28.89
23,28.75
24,29.77
25,27.65
26,28.56
27,28.5
28,30.48
29,27.2
30,30.24
31,28.22
32,27.51
33,28.93
34,29.26
35,29.43
36,27.32
37,30.78
38,28.1
39,27.4
40,29.69
41,27.3
42,30.87
43,26.59
44,30.99
45,28.24
46,27.27
47,28.74
48,28.82
49,30.78
50,26.65
51,27.36
52,29.64
53,28.9
54,30.2
55,27.99
56,27.33
57,28.65
58,28.21
59,29.69
60,26.97
61,29.2
62,28.75
63,27.33
64,28.69
65,28.77
66,30.78
67,26.62
68,27.51
69,29.4
70,27.74
71,29.05
72,28.4
73,29.7
74,26.67
75,30.57
76,29.52
77,26.93
78,29.51
79,28.55
80,29.28
81,28.38
82,29.47
83,28.09
84,29.29
85,29.02
86,27.34
87,29.54
88,28.33
89,28.84
90,28.25
91,30.87
92,27.14
93,27.21
94,29.51
95,28.87
96,28.91
97,26.48
98,28.87
99,29.45
100,28.68
101,30.36
102,26.46
103,29.32
104,29.77
105,28.73
106,28.69
107,26.55
108,29.5
109,29.84
110,28.42
111,28.82
112,26.97
113,28.01
114,28.74
115,28.38
116,30.22
117,29.63
118,27.9
119,27.91
120,27.73
121,30.7
122,29.4
123,27.48
124,30.62
125,27.09
126,28.37
127,29.99
128,28.99
129,28.63
130,26.67
131,28.47
132,30.05
133,28.74
134,29.29
135,27.09
136,27.99
137,28.88
138,28.87
139,30.94
140,28.4
141,27.18
142,29.62
143,28.47
144,30.38
145,26.73
146,28.43
147,29.14
148,28.84
149,30.99
150,28.31
151,27.2
152,29.09
153,27.71
154,30.69
155,27.13
156,27.7
157,29.5
158,29.04
159,29.94
160,26.44
161,29.05
162,30.36
163,28.54
164,29.36
165,28.25
166,27.34
167,30.1
168,27.7
169,28.89
170,27.48
171,30.85
172,28.96
173,27.33
174,28.77
175,28.86
176,30.94
177,26.9
178,28.4
179,29.26
180,28.91
181,31.1
182,28.27
183,27.75
184,28.74
185,26.95
186,30.2
187,29.96
188,27.64
189,28.7
190,27.82
191,30.92
192,29.35
193,28.57
194,28.73
195,28.07
196,30.73
197,29.23
198,27.56
199,28.54
200,28.31
201,31.14
202,26.83
203,28.47
204,30.09
205,28.78
206,29.46
207,28.33
208,27.46
209,29.11
210,28.87
211,30.03
212,27.75
213,28.66
214,30.12
215,27.74
216,28.63
217,28.41
218,30.66
219,28.54
220,27.78
221,29.54
222,28.75
223,29.75
224,26.99
225,28.96
226,29.94
227,28.73
228,28.99
229,27.69
230,30.98
231,27.35
232,28.61
233,29.45
234,28.34
235,29.57
236,26.96
237,29.46
238,30.03
239,28.79
240,29.31
241,29.0
242,29.8
243,26.87
244,31.47
245,28.71
246,27.23
247,29.83
248,28.51
249,29.39
250,30.17
251,28.01
252,28.9
253,28.33
254,30.83
255,28.7
256,27.44
257,29.37
258,27.96
259,31.15
260,29.7
261,27.54
262,29.53
263,29.12
264,30.77
265,27.0
266,29.03
267,30.14
268,28.51
269,28.96
270,27.99
271,30.75
272,28.1
273,30.91
274,28.76
275,28.2
276,30.08
277,28.26
278,29.44
279,29.01
280,29.53
281,27.17
282,31.03
283,29.33
284,28.09
285,30.18
286,27.72
287,28.95
288,28.9
289,29.54
290,28.5
291,31.21
292,27.28
293,30.76
294,28.23
295,27.51
296,30.28
297,28.91
298,29.01
299,27.76
300,31.08
301,27.13
302,28.13
303,30.48
304,29.27
305,28.99
306,28.41
307,31.04
308,28.01
309,29.1
310,30.02
311,28.99
312,29.14
313,27.45
314,29.04
315,30.52
316,29.37
317,28.96
318,26.94
319,30.83
320,30.39
321,28.54
322,29.62
323,27.64
324,30.88
325,30.46
326,28.52
327,28.41
328,28.72
329,30.41
330,30.0
331,28.35
332,29.64
333,29.29
334,27.64
335,29.74
336,29.24
337,31.19
338,27.44
339,27.81
340,30.25
341,29.21
342,30.52
343,28.19
344,28.05
345,30.19
346,28.96
347,29.06
348,27.05
349,31.02
350,30.6
351,28.8
352,30.14
353,28.14
354,29.02
355,30.24
356,29.26
357,29.8
358,27.06
359,29.35
360,29.92
361,29.42
362,30.91
363,27.09
364,27.97
365,29.85
366,28.84
367,30.53
368,26.99
369,29.48
370,31.03
371,28.16
372,28.85
373,29.71
374,29.91
375,30.65
376,28.23
377,29.21
378,29.09
379,31.24
380,28.88
381,27.77
382,29.79
383,28.29
384,31.34
385,30.63
386,28.13
387,29.94
388,27.19
389,28.81
390,30.53
391,28.92
392,31.41
393,30.23
394,27.9
395,29.22
396,27.32
397,30.95
398,30.49
399,29.5
400,31.16
401,28.38
402,28.11
403,29.3
404,27.6
405,31.41
406,30.4
407,29.22
408,31.23
409,27.97
410,27.34
411,30.01
412,29.74
413,29.71
414,28.2
415,29.66
416,29.24
417,29.41
418,30.64
419,27.29
420,31.31
421,30.44
422,28.24
423,29.52
424,27.71
425,29.11
426,30.79
427,29.46
428,29.91
429,28.59
430,27.9
431,29.2
432,28.3
433,29.35
434,30.15
435,29.64
436,30.83
437,29.55
438,28.15
439,29.54
440,27.91
441,30.28
442,28.92
443,28.53
444,29.4
445,29.55
446,31.34
447,27.82
448,28.34
449,30.71
450,29.5
451,30.02
452,27.17
453,31.53
454,31.05
455,27.63
456,30.11
457,29.01
458,28.41
459,30.34
460,29.67
461,30.52
462,27.87
463,28.87
464,29.51
465,28.44
466,29.69
467,30.99
468,29.71
469,31.31
470,29.87
471,28.23
472,30.01
473,28.42
474,31.57
475,30.93
476,29.65
477,31.1
478,27.47
479,28.44
480,30.91
481,29.75
482,30.72
483,27.5
484,31.29
485,31.05
486,28.72
487,29.64
488,28.81
489,30.81
490,30.33
491,28.87
492,29.23
493,28.48
494,32.22
495,30.49
496,28.48
497,30.56
498,29.05
499,30.1
500,29.89
501,28.35
502,30.87
503,29.53
504,30.17
505,27.96
506,29.41
507,31.02
508,29.77
509,29.76
510,27.53
511,30.7
512,30.87
513,29.62
514,31.33
515,27.61
516,29.12
517,31.04
518,29.78
519,30.15
520,27.77
521,31.07
522,29.25
523,28.7
524,29.61
525,27.9
526,31.62
527,31.07
528,28.68
529,29.7
530,28.64
531,30.35
532,30.39
533,28.65
534,29.32
535,27.7
536,32.2
537,31.07
538,28.42
539,30.32
540,28.94
541,28.36
542,29.64
543,29.58
544,31.51
545,30.58
546,28.32
547,29.93
548,28.2
549,31.74
550,30.65
551,28.77
552,29.69
553,28.32
554,29.68
555,31.06
556,29.97
557,30.05
558,28.07
559,29.09
560,30.28
561,29.94
562,31.84
563,28.55
564,28.67
565,30.3
566,29.28
567,31.91
568,30.59
569,28.23
570,29.77
571,28.3
572,30.31
573,30.83
574,29.22
575,31.23
576,28.06
577,28.01
578,30.15
579,29.31
580,32.17
581,30.46
582,28.71
583,31.99
584,29.49
585,29.03
586,30.84
587,29.27
588,32.01
589,31.26
590,29.19
591,30.93
592,27.91
593,28.39
594,29.85
595,28.32
596,31.98
597,31.22
598,29.24
599,29.8
600,27.85
601,31.2
602,31.17
603,29.12
604,30.86
605,27.72
606,29.47
607,30.74
608,29.66
609,29.85
610,28.07
611,31.9
612,31.11
613,28.94
614,30.16
615,28.48
616,29.64
617,30.51
618,30.2
619,30.11
620,28.44
621,28.13
622,30.55
623,30.5
624,30.8
625,30.6
626,30.01
627,30.86
628,27.93
629,28.51
630,29.87
631,27.82
632,29.64
633,30.68
634,29.85
635,31.99
636,30.45
637,29.95
638,29.98
639,28.3
640,30.52
641,30.59
642,30.0
643,32.24
644,27.83
645,28.59
646,31.2
647,29.94
648,31.55
649,27.96
650,29.52
651,31.34
652,29.13
653,29.76
654,28.03
655,31.07
656,30.94
657,29.98
658,31.46
659,27.76
660,28.37
661,31.18
662,30.41
663,30.01
664,29.09
665,30.53
666,29.92
667,30.06
668,31.23
669,27.8
670,29.02
671,31.23
672,28.62
673,30.03
674,29.97
675,31.8
676,28.49
677,29.11
678,31.39
679,29.54
680,29.95
681,28.65
682,31.59
683,28.74
684,30.39
685,31.15
686,29.13
687,30.48
688,28.39
689,30.21
690,31.24
691,29.6
692,29.95
693,28.7
694,32.19
695,30.81
696,28.7
697,30.01
698,29.94
699,31.35
700,28.94
701,31.44
702,31.97
703,28.39
704,30.95
705,30.33
706,30.87
707,31.28
708,30.12
709,32.0
710,29.66
711,31.83
712,31.09
713,32.57
714,29.82
715,31.11
716,32.21
717,31.18
718,32.13
719,29.73
720,32.96
721,31.7
722,30.67
723,31.8
724,31.6
725,33.16
726,29.39
727,30.3
728,32.73
729,31.49
730,31.9
731,29.46
732,31.85
733,32.47
734,30.48
735,31.42
736,30.81
737,33.16
738,30.17
739,30.17
740,32.21
741,31.58
742,31.52
743,29.05
744,33.69
745,29.76
746,31.97
747,30.88
748,30.17
749,32.44
750,30.81
751,31.81
752,30.31
753,33.04
754,30.23
755,32.1
756,32.71
757,30.42
758,31.36
759,30.45
760,33.1
761,30.82
762,29.95
763,32.91
764,30.72
765,31.41
766,30.1
767,33.51
768,31.12
769,31.52
770,32.52
771,30.02
772,31.35
773,31.44
774,31.31
775,29.91
776,33.57
777,32.18
778,29.94
779,31.56
780,31.41
781,31.33
782,30.9
783,33.37
784,30.07
785,30.3
786,33.12
787,30.65
788,31.36
789,31.04
790,31.81
791,32.25
792,29.94
793,32.73
794,30.02
795,31.39
796,31.62
797,31.33
798,29.84
799,33.46
800,30.69
801,32.47
802,31.79
803,30.19
804,32.44
805,30.72
806,31.44
807,30.95
