Tempo,P2,P3,P4,P5,P6,P7,P8,P9,P11,P13
0,391.0,362.0,264.0,318.0,238.0,204.0,167.0,150.0,86.0,0.0
1,391.0,363.0,266.0,319.0,238.0,205.0,168.0,151.0,88.0,0.0
2,391.0,363.0,266.0,319.0,238.0,205.0,168.0,151.0,88.0,0.0
3,391.0,363.0,266.0,319.0,238.0,205.0,168.0,151.0,88.0,0.0
4,391.0,363.0,266.0,319.0,238.0,205.0,168.0,151.0,88.0,0.0
5,392.0,364.0,265.0,319.0,239.0,205.0,168.0,151.0,87.0,0.0
6,392.0,364.0,265.0,319.0,239.0,205.0,168.0,151.0,87.0,0.0
7,392.0,364.0,265.0,319.0,239.0,205.0,168.0,151.0,87.0,0.0
8,392.0,363.0,266.0,319.0,239.0,205.0,169.0,151.0,87.0,0.0
9,392.0,363.0,266.0,319.0,239.0,205.0,169.0,151.0,87.0,0.0
10,392.0,363.0,266.0,319.0,239.0,205.0,169.0,151.0,87.0,0.0
11,392.0,363.0,266.0,319.0,239.0,205.0,169.0,151.0,87.0,0.0
12,393.0,363.0,266.0,319.0,239.0,205.0,168.0,151.0,87.0,0.0
13,393.0,363.0,266.0,319.0,239.0,205.0,168.0,151.0,87.0,0.0
14,393.0,363.0,266.0,319.0,239.0,205.0,168.0,151.0,87.0,0.0
15,393.0,363.0,266.0,319.0,239.0,205.0,168.0,151.0,87.0,0.0
16,391.0,362.0,263.0,317.0,238.0,204.0,167.0,149.0,86.0,0.0
17,391.0,362.0,263.0,317.0,238.0,204.0,167.0,149.0,86.0,0.0
18,391.0,362.0,263.0,317.0,238.0,204.0,167.0,149.0,86.0,0.0
19,391.0,362.0,263.0,317.0,238.0,204.0,167.0,149.0,86.0,0.0
20,392.0,363.0,265.0,319.0,238.0,204.0,167.0,150.0,86.0,0.0
21,392.0,363.0,265.0,319.0,238.0,204.0,167.0,150.0,86.0,0.0
22,392.0,363.0,265.0,319.0,238.0,204.0,167.0,150.0,86.0,0.0
23,391.0,362.0,262.0,316.0,236.0,203.0,166.0,148.0,84.0,0.0
24,391.0,362.0,262.0,316.0,236.0,203.0,166.0,148.0,84.0,0.0
25,391.0,362.0,262.0,316.0,236.0,203.0,166.0,148.0,84.0,0.0
26,391.0,362.0,262.0,316.0,236.0,203.0,166.0,148.0,84.0,0.0
27,389.0,360.0,261.0,315.0,236.0,201.0,164.0,146.0,83.0,0.0
28,389.0,360.0,261.0,315.0,236.0,201.0,164.0,146.0,83.0,0.0
29,389.0,360.0,261.0,315.0,236.0,201.0,164.0,146.0,83.0,0.0
30,389.0,360.0,261.0,315.0,236.0,201.0,164.0,146.0,83.0,0.0
31,389.0,359.0,262.0,315.0,235.0,202.0,165.0,147.0,82.0,0.0
32,389.0,359.0,262.0,315.0,235.0,202.0,165.0,147.0,82.0,0.0
33,389.0,359.0,262.0,315.0,235.0,202.0,165.0,147.0,82.0,0.0
34,387.0,359.0,261.0,315.0,234.0,201.0,164.0,146.0,81.0,0.0
35,387.0,359.0,261.0,315.0,234.0,201.0,164.0,146.0,81.0,0.0
36,387.0,359.0,261.0,315.0,234.0,201.0,164.0,146.0,81.0,0.0
37,387.0,359.0,261.0,315.0,234.0,201.0,164.0,146.0,81.0,0.0
38,387.0,360.0,260.0,314.0,234.0,200.0,163.0,144.0,80.0,0.0
39,387.0,360.0,260.0,314.0,234.0,200.0,163.0,144.0,80.0,0.0
40,387.0,360.0,260.0,314.0,234.0,200.0,163.0,144.0,80.0,0.0
